Column,Error_Frequency
Right ovary volume (cc) (((L*W*H)/1000)*0.53),164
Left ovary volume (cc) (((L*W*H)/1000)*0.53),158
Pouch of Douglas obliteration status,126
Abnormal junction zone thickening identified,90
Presence of Adenomyosis,75
Endometrial lesions identified,61
Left ovary - No. follicles between 2 and 9 mm in diametre,44
Right ovary -  No. follicles between 2 and 9 mm in diameter,40
Fibroids identified,39
Uterine Size (Body + Cervix - 3 planes in mm) - Length,39
Left ovary measurements - Length (mm),34
Right ovary measurements - Length (mm),34
Uteroscaral ligament nodules/thickening identified,30
Right ovary dominant follicle identified,29
Right ovary measurements - Width (mm),26
Uterine Size (Body + Cervix - 3 planes in mm) - Width,25
Uterine Lie Position - Anteverted,24
Left ovary measurements - Width (mm),24
Submucosal fibroids identified,24
Right ovary measurements - Height (mm),24
Uterine anatomy,23
Left ovary measurements - Height (mm),22
Left ovarian endometrioma size (mm),20
Uterus Adenomyoma identified,20
Rectovaginal nodules identified,18
Left ovary - No. follicles > 9 mm,17
Number of fibroids,17
Left ovary - Dominant follicle identified,16
Right ovarian endometrioma size (mm),15
Left ovary position,14
Uterine Size (Body + Cervix - 3 planes in mm) - Height,14
Right ovary No. follicles > 9 mm,14
Number of endometrial polyps,10
Endometrial thickness (Sag plane in mm to nearest mm),8
Bowel Deep Infiltrating Endometrosis (DIE) identified,7
Left ovarian endometrioma identified,6
Left ovarian endometrioma T2 shading identified (Intermediate/low homogenous T2 signal),5
Right ovarian endometrioma identified,4
Kissing ovaries identified,4
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 2.862000000000001,2
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 6.545500000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 8.607199999999999,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 7.886400000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 4.973520000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 9.660840000000002,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 6.646199999999999,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 5.914800000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 35.83860000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 9.015300000000002,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 68.42724000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 99.81384000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 5.887770000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 39.83692000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 9.497600000000002,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 7.975440000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 4.324800000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 8.745000000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 4.693680000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 7.874740000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 7.462400000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 5.924340000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 4.979880000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 5.421900000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 0.8268000000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 8.791640000000001,1
Left ovary - No. follicles between 2 and 9 mm in diametre >30 (x 35),1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 8.607199999999999,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 6.025040000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 6.767040000000001,1
Presence of urinary bladder nodule,1
Right ovarian endometrioma size (mm) 1) 13. 2) 15.,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 36.44121000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 4.507650000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 3.442880000000001,1
"Right ovarian endometrioma size (mm) 3 endometrioma- 6, 3, 4 mm",1
"Right ovarian endometrioma size (mm) 3 endometrioma - 12, 3, 2",1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 6.296400000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 7.835520000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 5.290459999999999,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 5.060440000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 7.439080000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 6.868800000000001,1
Hydrosalpinx identified,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 6.868800000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 5.300000000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 3.148200000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 8.543600000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 7.730580000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 7.813260000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 4.452000000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 4.664000000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 4.766290000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 5.914800000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 6.811560000000001,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 5.724000000000001,1
Right ovary volume (cc) (((L*W*H)/1000)*0.53) 9.687339999999999,1
Left ovary volume (cc) (((L*W*H)/1000)*0.53) 8.922550000000001,1
